xd1131	0.08
xd1132	0.08
xd1133	0.09
xd1134	0.07
xd1135	0.09
xd1136	0.1
xd1137	0.1
xd1138	0.1
xd1139	0.09
xd1140	0.09
xd1141	0.1
xd1142	0.09
xd1143	0.1
xd1144	0.09
xd1145	0.09
xd1146	0.09
xd1147	0.07
xd1148	0.08
xd1149	0.08
xd1150	0.09
xd1151	0.09
xd1152	0.09
xd1153	0.1
xd1154	0.08
xd1155	0.08
xd1156	0.08
xd1157	0.08
xd1158	0.08
xd1160	0.09
xd1161	0.08
xd1162	0.08
xd1163	0.08
xd1164	0.08
xd1165	0.1
xd1166	0.1
xd1167	0.08
xd1168	0.08
xd1169	0.08
xd1170	0.08
xd1171	0.08
xd1172	0.08
xd1174	0.08
xd1175	0.08
xd1176	0.08
xd1177	0.08
xd1178	0.09
xd1179	0.1
xd1180	0.09
xd1181	0.1
xd1182	0.09
xd1183	0.09
xd1184	0.09
xd1185	0.08
xd1186	0.09
xd1187	0.09
xd1188	0.09
xd1189a	0.09
xd1189b	0.09
xd1190	0.09
xd1192	0.09
xd1193	0.09
xd1194	0.09
xd1195	0.09
xd1196	0.1
xd1197	0.09
xd1198	0.09
xd1199	0.09
xd1200	0.09
xd1201	0.09
xd1202	0.08
xd1203	0.08
xd1204	0.08
xd1205	0.07
xd1206	0.07
xd1207	0.09
xd1208	0.07
xd1209	0.09
xd1210	0.08
xd1211	0.1
xd1212	0.1
xd1213	0.1
xd1214	0.09
xd1215	0.15
xd1216	0.09
xd1217	0.1
xd1218	0.1
xd1219	0.08
xd1220	0.1
xd1222	0.08
xd1223	0.08
xd1224	0.09
xd1225	0.12
xd1226	0.07
xd1227	0.08
xd1228	0.09
xd1230	0.08
xd1231	0.08
xd1232	0.1
xd1233	0.13
xd1234	0
xd1235	0.08
xd1236	0.1
xd1237	0.1
xd1238	0.23
xd1239	0.09
xd1240	0.083
xd1241	0.12
xd1242	0.18
xd1243	0.08
xd1244	0.31
xd1245	0.2
xd1246	0.2
xd1247	0.19
xd1248	0
xd1249	0
xd1251	0.01
xd1252	0.2
xd1253	0.05
xd1254	0.2
xd1255	0.25
xd1256	0.25
xd1257	0.39
xd1259	0.07
xd1260	0.03
xd1261	0.05
xd1262	0.03
xd1263	0.03
xd1264	0.03
xd1265	0.08
xd1266	0.08
xd1267	0.08
xd1268	0.03
xd1269	0.1
xd1270	0
xd1271	0.09
xd1272	0.1
xd1273	0.09
xd1274	0.08
xd1275	0.07
xd1276	0.03
xd1277	0.04
xd1278	0.02
xd1279	0.02
xd1280	0.04
xd1281	0.1
xd1282	0.06
xd1283	0.06
xd1284	0.03
xd1285	0.03
xd1286	0.02
xd1287	0.02
xd1288	0.03
xd1289	0.05
xd1290	0.38
xd1291	0.11
xd1292	0.08
xd1294	0.03
xd1295	0.01
xd1296	0.01
xd1297	0
xd1298	0
xd1299	0.05
xd1300	-0.01
xd1301	0.43
xd1302	0.01
xd1303	0.01
xd1304	0.01
xd1305	0
xd1306	0.02
xd1307	0.45
xd1308	-0.01
xd1309	0.01
xd1310	0.05
xd1311	0.07
xd1312	0.002
xd1313	0.02
xd1314	0
xd1315	0.03
xd1316	0
xd1317	0
xd1318	0.01
xd1319	0.02
xd1320	-0.01
xd1321	0
xd1322	0.43
xd1323	0.01
xd1324	0.02
xd1325	0.03
xd1326	0.3
xd1327	0.01
xd1328	0.01
xd1329	0
xd1330	0
xd1331	0.01
xd1332	0
xd1333	0.43
xd1335	0
xd1336	0.05
xd1337	0.02
xd1338	0.04
xd1339	0
xd1340	0.06
xd1341	0.04
xd1342	0.03
xd1343	0
xd1345	0
xd1346	0.02
xd1347	0
xd1348	0.05
xd1350	0
xd1351	0
xd1352	0
xd1353	0
xd1354	0.02
xd1355	0.03
xd1356	0
xd1357	0
xd1358	-0.01
xd1359	0
xd1360	0
xd1361	-0.015
xd1362	0.01
xd1363	0.28
xd1364	-0.01
xd1365	0
xd1366	0.01
xd1367	0.02
xd1368	0.01
xd1369	0.01
xd1370	0.04
xd1371	0
xd1372	0
xd1373	0.03
xd1374	0.42
xd1375	0.01
xd1376	0.04
xd1377	0
xd1378	0.05
xd1379	0.41
xd1380	0.05
xd1381	0
xd1383	0.08
xd1384	0.07
xd1385	0.07
xd1386	0.08
xd1387	0.05
